0,1,2,3,4,5,6,7,8,9,10,11
8,3,10,8,1,10,2,10,10,2,8,1
9,2,9,5,3,9,3,9,9,2,9,2
9,2,9,5,1,5,1,5,5,1,8,1
3,1,9,4,1,7,1,8,8,1,9,1
8,2,9,7,1,9,4,10,10,1,10,1
5,1,10,10,1,10,1,10,10,1,8,1
7,1,7,6,1,10,1,10,10,1,5,1
10,1,10,10,1,10,1,10,10,1,10,1
10,1,10,7,1,10,3,10,10,1,10,1
10,1,10,6,1,10,1,10,10,1,10,1
9,1,10,5,1,10,1,10,10,1,6,1
10,1,10,2,2,8,2,8,8,1,6,3
10,7,10,4,6,10,4,7,9,2,7,2
8,1,9,6,2,10,2,10,10,1,8,1
7,2,9,3,2,9,2,8,8,1,6,2
8,1,9,7,1,10,2,10,10,2,9,5
8,2,9,7,2,10,2,10,10,2,9,2
9,1,5,1,1,1,1,10,7,1,4,1
7,1,8,3,1,9,2,7,10,1,3,1
7,1,9,6,1,7,1,8,7,1,6,1
10,2,10,8,2,10,2,10,10,2,9,2
10,1,10,5,1,10,1,10,10,1,10,1
5,2,5,5,2,5,2,5,6,2,5,2
7,3,8,6,3,9,2,8,7,2,7,2
10,1,10,10,5,10,1,10,10,1,10,1
8,3,8,4,2,9,2,9,9,1,9,1
10,1,10,4,1,10,1,9,10,1,7,1
5,9,8,5,9,9,2,9,9,9,9,9
8,1,9,5,1,10,4,10,10,3,8,3
7,1,10,5,1,10,1,10,10,1,8,1
8,2,9,7,3,9,1,9,9,1,7,1